panel,scope,method,budget,tau_b,top_k_overlap,full_top_k_set_size,subset_top_k_set_size,pairwise_direction_agreement,calibrated_score_mae,repository_coverage,baseline_percentile
open-submission,cluster_latest,entropy,150,0.8622584059946236,0.75,11,10,0.9202211690363349,0.05212770347925168,10,0.0
open-submission,cluster_latest,temporal_coreset,150,0.9098294263638615,0.9090909090909091,11,10,0.943127962085308,0.04221552037345839,11,0.448
open-submission,cluster_latest,random,200,0.9282822114148797,0.8188364968364968,11.0,10.484,0.957736176935229,0.016810213476649415,11.068,
open-submission,cluster_latest,repo_stratified_random,200,0.9292128757791073,0.8254192474192474,11.0,10.432,0.9581816745655608,0.01666434942158658,11.0,
open-submission,cluster_latest,entropy,200,0.9084481104815512,0.9090909090909091,11,10,0.9454976303317536,0.04232410191418274,10,0.06
open-submission,cluster_latest,temporal_coreset,200,0.9401565960131935,0.8333333333333334,11,11,0.9612954186413902,0.02926742078958826,11,0.8
open-submission,cluster_latest,random,250,0.9414873770506273,0.8451433566433566,11.0,10.33,0.9660189573459715,0.013577577942134893,11.282,
open-submission,cluster_latest,repo_stratified_random,250,0.9412211480413654,0.8509513819513819,11.0,10.38,0.9658151658767772,0.013753165700344686,11.0,
open-submission,cluster_latest,entropy,250,0.907078534606292,1.0,11,11,0.9486571879936809,0.03731105594486874,10,0.002
open-submission,cluster_latest,temporal_coreset,250,0.9521556718971016,0.7692307692307693,11,12,0.9707740916271722,0.02999118189479007,11,0.84
open-submission,cluster_latest,random,300,0.9523751658934957,0.8646736596736597,11.0,10.31,0.9725829383886256,0.010984731841628419,11.48,
open-submission,cluster_latest,repo_stratified_random,300,0.9523045660018256,0.8652099567099567,11.0,10.32,0.9725434439178515,0.01121346960104621,12.0,
open-submission,cluster_latest,entropy,300,0.9355483055268033,0.7692307692307693,11,12,0.9628751974723538,0.021219750068992745,12,0.056
open-submission,cluster_latest,temporal_coreset,300,0.9601584632835916,0.9090909090909091,11,10,0.9786729857819905,0.02026681923981953,12,0.782
open-submission,cluster_latest,random,400,0.9706754404172551,0.8954090909090909,11.0,10.282,0.9829241706161138,0.006830035640326261,11.754,
open-submission,cluster_latest,repo_stratified_random,400,0.9707339550045349,0.8901969696969696,11.0,10.292,0.9830379146919431,0.006722809720048026,12.0,
open-submission,cluster_latest,entropy,400,0.9640742954215826,0.8333333333333334,11,11,0.9794628751974723,0.010796382638583452,12,0.162
open-submission,cluster_latest,temporal_coreset,400,0.964808903417329,1.0,11,11,0.9778830963665087,0.007409810068406916,12,0.19
open-submission,cluster_latest,random,450,0.9808033855125227,0.9158030303030302,11.0,10.274,0.9885118483412323,0.0045216942257765985,11.888,
open-submission,cluster_latest,repo_stratified_random,450,0.9808532458786939,0.9173787878787879,11.0,10.318,0.9884486571879937,0.004520002012777261,12.0,
open-submission,cluster_latest,entropy,450,0.9786901233018714,0.9090909090909091,11,10,0.9873617693522907,0.007137254901960808,12,0.334
open-submission,cluster_latest,temporal_coreset,450,0.9779008570734021,1.0,11,11,0.9873617693522907,0.003530193693028697,12,0.286
open-submission,cluster_latest,random,475,0.987768502118817,0.9333636363636364,11.0,10.382,0.9921895734597157,0.0031106869515455542,11.95,
open-submission,cluster_latest,repo_stratified_random,475,0.9875787991172735,0.9319242424242424,11.0,10.318,0.9920379146919431,0.0031078399918314753,12.0,
open-submission,cluster_latest,entropy,475,0.98776162454742,0.9090909090909091,11,10,0.9921011058451816,0.004078431372549051,12,0.5
open-submission,cluster_latest,temporal_coreset,475,0.9920951716462767,0.9090909090909091,11,10,0.9928909952606635,0.0023482113211512248,12,0.874
open-submission,cluster_latest,random,500,1.0,1.0,11.0,11.0,1.0,0.0,12.0,
open-submission,cluster_latest,repo_stratified_random,500,1.0,1.0,11.0,11.0,1.0,0.0,12.0,
open-submission,cluster_latest,entropy,500,1.0,1.0,11,11,1.0,0.0,12,1.0
open-submission,cluster_latest,temporal_coreset,500,1.0,1.0,11,11,1.0,0.0,12,1.0
standardized-bash,all_systems,random,25,0.5368486277793424,0.6236123376623376,6.0,6.32,0.6604150943396226,0.0440344019851327,7.456,
standardized-bash,all_systems,repo_stratified_random,25,0.5263753655832224,0.6290198412698413,6.0,6.27,0.6596603773584906,0.04455932930689114,8.0,
standardized-bash,all_systems,entropy,25,0.6347327646930768,0.8571428571428571,6,7,0.7735849056603774,0.038688162073997764,6,0.708
standardized-bash,all_systems,temporal_coreset,25,0.4007219498504305,0.75,6,8,0.6226415094339622,0.053477655341291695,7,0.226
standardized-bash,all_systems,random,50,0.635006394580323,0.6704325396825397,6.0,5.756,0.7585283018867924,0.031162645333005043,9.116,
standardized-bash,all_systems,repo_stratified_random,50,0.6406440705087911,0.6912253968253969,6.0,5.836,0.7593584905660378,0.03061094871622532,10.0,
standardized-bash,all_systems,entropy,50,0.7116700695043588,0.8333333333333334,6,5,0.8113207547169812,0.0293342887527397,7,0.68
standardized-bash,all_systems,temporal_coreset,50,0.7886073743156409,0.5714285714285714,6,5,0.8490566037735849,0.018210682861700002,9,0.886
standardized-bash,all_systems,random,75,0.7023274862978156,0.7099761904761904,6.0,5.562,0.810188679245283,0.025222041944226205,9.886,
standardized-bash,all_systems,repo_stratified_random,75,0.6906693286073873,0.715281746031746,6.0,5.544,0.8029056603773586,0.02473213522320401,10.0,
standardized-bash,all_systems,entropy,75,0.8190847665914187,0.8333333333333334,6,5,0.8867924528301887,0.016418459450925026,9,0.874
standardized-bash,all_systems,temporal_coreset,75,0.8000362836474323,0.625,6,7,0.8679245283018868,0.0184561318383748,10,0.832
